articles,bhd,million,share,said,year,price,thi,cimb,market,wa,bank,stock,group,ha,research,billion,malaysia,compani,hold,profit,also,sen,expect,net,invest,s,earn,trade,last,us,target,financi,growth,time,per,say,higher,note,manag,valu,valuat,would,analyst,may,today,first,investor,base,point,end,revenu,lower,edg,new,quarter,rate,fund,oil,close,index,due,kuala,increas,lumpur,report,rose,oper,fundament,asset,product,2014,cost,could,remain,week,strong,howev,month,continu,high,one,busi,2015,klci,posit,two,industri,sale,buy,project,current,declin,gain,like,maintain,call,sector,30,develop,capit
216,0,4,1,0,2,3,2,1,0,0,0,1,0,3,0,3,0,0,1,1,2,0,1,0,0,0,0,0,0,3,1,0,0,0,0,4,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
217,7,36,19,1,58,21,19,1,14,15,4,12,10,29,14,11,2,29,4,16,11,17,14,11,4,0,21,6,12,5,1,2,13,16,17,13,8,5,9,6,2,6,3,5,0,4,4,3,1,12,7,1,2,6,8,2,6,17,11,0,4,1,4,0,6,1,1,0,1,9,1,2,4,4,0,2,11,6,6,6,6,6,0,0,1,6,19,9,1,11,3,1,7,4,0,1,6,10,7,1
218,23,1,1,5,0,1,0,1,2,2,2,2,3,0,2,1,1,0,4,1,0,0,0,0,0,1,0,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,1,1,3,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,2,1,1,1,0,1,0,1,0
219,5,0,1,0,3,6,1,1,1,0,0,1,1,2,1,2,2,0,1,4,0,0,2,4,0,0,2,0,0,0,1,1,1,1,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,0,0,2,1,1,1,5,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0
220,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,2,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0
221,12,18,13,0,2,3,3,2,1,9,7,5,2,1,0,3,3,4,5,1,0,2,0,1,0,0,0,8,1,2,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
222,3,0,1,0,2,3,2,1,0,4,0,1,5,1,1,0,2,0,3,0,1,0,0,0,0,0,1,1,0,0,5,1,4,4,3,0,2,0,0,1,0,0,3,0,0,1,0,0,0,2,1,2,0,1,1,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,3,0,0
223,2,0,2,2,0,2,0,5,1,3,0,1,1,1,1,0,1,5,0,0,2,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,1,11,4,3,2,2,1,3,2,2,0,2,0,2,3,0,0,4,0,2,0,1,1,2,1,1,2,1,0,3,1,1,0,0,1,0,1,2,2,1,1,0,1,0,1,1,0,0,0,1,2,0,0,0,2,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0,0,1,0,1
225,1,1,8,3,4,2,1,2,1,3,2,2,1,4,3,5,0,0,0,3,0,0,2,2,0,8,5,1,0,1,5,4,10,0,1,0,1,2,4,1,0,2,1,0,0,0,1,2,0,0,0,7,0,1,3,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,4,1,0,1,0,0,0,0,0,0,0
226,0,1,3,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
227,2,3,6,7,1,3,0,4,1,1,1,1,0,0,0,3,0,0,1,4,0,0,1,5,1,3,1,1,1,0,1,0,0,0,2,0,1,1,0,0,0,0,1,0,2,2,0,0,0,1,1,0,0,0,3,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
