articles,bhd,said,million,share,year,price,cimb,thi,ha,market,wa,stock,bank,group,malaysia,research,billion,compani,expect,hold,also,s,profit,sen,earn,net,invest,trade,target,last,financi,us,growth,per,note,higher,would,analyst,say,time,today,point,may,manag,base,new,oil,end,valuat,first,rate,kuala,quarter,valu,investor,lumpur,fund,revenu,index,could,2015,due,high,edg,lower,declin,report,busi,close,asset,increas,klci,develop,sale,oper,fundament,project,sector,posit,week,product,current,remain,capit,maintain,call,month,one,cost,howev,2014,top,rose,industri,continu,fell,hous,like,secur,strong
713,2,6,0,4,1,2,2,1,0,1,0,2,1,0,1,2,0,1,0,1,1,5,0,0,1,0,1,2,1,0,0,0,0,1,3,1,2,2,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0
714,0,4,0,2,2,0,1,1,1,1,3,2,4,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,2,1,0,3,1,0,3,1,2,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,2,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,3,0
715,1,12,1,5,20,0,1,4,1,3,7,1,2,5,0,1,20,6,0,6,2,0,1,0,0,0,27,1,1,8,0,6,2,0,0,0,1,1,0,4,0,1,3,3,1,2,1,3,0,0,1,0,1,3,7,0,7,0,2,1,1,0,0,0,0,0,3,3,0,9,2,0,1,0,0,0,0,1,0,1,0,0,0,3,0,0,5,2,0,0,1,2,0,0,0,0,0,0,0,0
716,1,0,1,1,4,2,1,4,1,1,1,1,0,1,0,1,0,5,1,0,1,0,0,2,2,0,0,0,3,0,2,0,0,3,0,0,0,0,0,1,0,0,3,1,1,3,0,1,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,2,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,2,0,0,1,1,2,3,0,0,0,0,0,0,1,3,0
717,7,0,3,1,0,1,1,6,1,7,7,2,1,2,2,0,3,0,3,1,1,0,0,0,0,3,2,7,1,4,1,8,1,2,0,3,0,0,0,1,0,17,3,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,12,1,0,0,1,1,0,4,0,0,1,0,6,8,0,0,0,0,0,0,0,20,0,0,2,0,0,0,1,2,0,1,2,0,2,1,5,0,0,1,2,2
718,3,9,4,1,4,0,1,0,11,0,7,1,0,5,6,0,1,13,0,4,3,0,0,0,0,1,1,0,0,2,1,2,2,0,0,1,1,0,0,0,0,0,3,1,2,0,3,0,2,0,0,3,0,5,1,2,1,0,1,1,0,0,1,0,0,1,7,3,1,5,0,0,1,0,0,0,2,1,1,1,2,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,1,0
719,5,0,0,4,0,0,1,1,0,4,2,1,1,1,1,0,2,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,2,0,1,2,1,0,2,0,0,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0
720,1,2,0,2,1,0,1,2,1,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,2,2,1,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0
721,4,4,1,3,1,2,2,0,1,0,1,1,2,0,3,1,0,2,0,0,1,5,0,2,0,0,2,0,1,1,0,1,0,0,2,0,0,0,1,0,1,0,2,0,0,2,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,5,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
722,4,4,1,3,1,2,2,0,1,0,1,1,2,0,3,1,0,2,0,0,1,5,0,2,0,0,2,0,1,1,0,1,0,0,2,0,0,0,1,0,1,0,2,0,0,2,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,5,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
